seed,mode,turns,winner,seat
546,selfplay,300,AI 2,3
547,selfplay,300,AI 4,0
548,selfplay,300,AI 2,1
549,selfplay,300,AI 4,2
550,selfplay,300,AI 3,0
551,selfplay,300,AI 4,0
552,selfplay,300,AI 2,1
553,selfplay,300,AI 2,0
554,selfplay,300,AI 4,1
555,selfplay,300,AI 1,1
556,selfplay,300,AI 2,1
557,selfplay,300,AI 3,1
558,selfplay,300,AI 2,3
559,selfplay,300,AI 4,0
560,selfplay,300,AI 4,3
561,selfplay,300,AI 4,2
562,selfplay,300,AI 4,1
563,selfplay,300,AI 4,0
564,selfplay,300,AI 4,3
565,selfplay,300,AI 1,3
566,selfplay,300,AI 3,0
567,selfplay,300,AI 4,0
568,selfplay,300,AI 2,1
569,selfplay,300,AI 4,2
570,selfplay,300,AI 1,2
571,selfplay,300,AI 4,0
572,selfplay,300,AI 3,2
573,selfplay,300,AI 3,1
574,selfplay,300,AI 1,2
575,selfplay,300,AI 1,1
576,selfplay,300,AI 4,3
577,selfplay,300,AI 3,1
578,selfplay,300,AI 2,3
579,selfplay,300,AI 2,2
580,selfplay,300,AI 3,2
581,selfplay,300,AI 4,2
582,selfplay,300,AI 3,0
583,selfplay,300,AI 1,1
584,selfplay,300,AI 1,0
585,selfplay,300,AI 1,3
586,selfplay,300,AI 4,1
587,selfplay,300,AI 2,2
588,selfplay,300,AI 2,1
589,selfplay,300,AI 1,3
590,selfplay,300,AI 3,0
591,selfplay,300,AI 2,2
592,selfplay,300,AI 1,0
593,selfplay,300,AI 3,1
594,selfplay,300,AI 3,0
595,selfplay,300,AI 2,2
596,selfplay,300,AI 1,0
597,selfplay,300,AI 4,2
598,selfplay,300,AI 2,3
599,selfplay,300,AI 1,1
600,selfplay,300,AI 3,2
601,selfplay,300,AI 2,0
602,selfplay,300,AI 2,3
603,selfplay,300,AI 1,1
604,selfplay,300,AI 4,3
605,selfplay,300,AI 4,2
606,selfplay,300,AI 3,0
607,selfplay,300,AI 1,1
608,selfplay,300,AI 4,3
609,selfplay,300,AI 1,3
610,selfplay,300,AI 3,0
611,selfplay,300,AI 3,3
612,selfplay,300,AI 3,2
613,selfplay,300,AI 4,2
614,selfplay,300,AI 1,2
615,selfplay,300,AI 2,2
616,selfplay,300,AI 2,1
617,selfplay,300,AI 1,3
618,selfplay,300,AI 4,1
619,selfplay,300,AI 3,3
620,selfplay,300,AI 2,1
