seed,mode,turns,winner,seat
373,selfplay,300,AI 3,1
374,selfplay,300,AI 3,0
375,selfplay,300,AI 4,0
376,selfplay,300,AI 3,2
377,selfplay,300,AI 4,2
378,selfplay,300,AI 1,2
379,selfplay,300,AI 1,1
380,selfplay,300,AI 2,1
381,selfplay,300,AI 1,3
382,selfplay,300,AI 4,1
383,selfplay,300,AI 4,0
384,selfplay,300,AI 4,3
385,selfplay,300,AI 2,0
386,selfplay,300,AI 2,3
387,selfplay,300,AI 1,1
388,selfplay,300,AI 2,1
389,selfplay,300,AI 1,3
390,selfplay,300,AI 4,1
391,selfplay,300,AI 2,2
392,selfplay,300,AI 3,2
393,selfplay,300,AI 3,1
394,selfplay,300,AI 4,1
395,selfplay,300,AI 1,1
396,selfplay,300,AI 1,0
397,selfplay,300,AI 1,3
398,selfplay,300,AI 4,1
399,selfplay,300,AI 3,3
400,selfplay,300,AI 3,2
401,selfplay,300,AI 4,2
402,selfplay,300,AI 2,3
403,selfplay,300,AI 3,3
404,selfplay,300,AI 2,1
405,selfplay,300,AI 4,2
406,selfplay,300,AI 4,1
407,selfplay,300,AI 2,2
408,selfplay,300,AI 3,2
409,selfplay,300,AI 1,3
410,selfplay,300,AI 4,1
411,selfplay,300,AI 3,3
412,selfplay,300,AI 2,1
413,selfplay,300,AI 2,0
414,selfplay,300,AI 4,1
415,selfplay,300,AI 3,3
416,selfplay,300,AI 3,2
417,selfplay,300,AI 2,0
418,selfplay,300,AI 1,2
419,selfplay,300,AI 3,3
420,selfplay,300,AI 4,3
421,selfplay,300,AI 3,1
422,selfplay,300,AI 1,2
423,selfplay,300,AI 3,3
424,selfplay,300,AI 4,3
425,selfplay,300,AI 4,2
426,selfplay,300,AI 1,2
427,selfplay,300,AI 4,0
428,selfplay,300,AI 2,1
429,selfplay,300,AI 1,3
430,selfplay,300,AI 4,1
431,selfplay,300,AI 1,1
432,selfplay,300,AI 1,0
433,selfplay,300,AI 2,0
434,selfplay,300,AI 1,2
435,selfplay,300,AI 1,1
436,selfplay,300,AI 1,0
437,selfplay,300,AI 2,0
438,selfplay,300,AI 3,0
439,selfplay,300,AI 4,0
440,selfplay,300,AI 2,1
441,selfplay,300,AI 1,3
442,selfplay,300,AI 1,2
443,selfplay,300,AI 1,1
444,selfplay,300,AI 3,2
445,selfplay,300,AI 1,3
446,selfplay,300,AI 1,2
447,selfplay,300,AI 1,1
448,selfplay,300,AI 3,2
449,selfplay,300,AI 3,1
450,selfplay,300,AI 2,3
451,selfplay,300,AI 1,1
452,selfplay,300,AI 1,0
453,selfplay,300,AI 2,0
454,selfplay,300,AI 2,3
455,selfplay,300,AI 1,1
456,selfplay,300,AI 2,1
457,selfplay,300,AI 4,2
458,selfplay,300,AI 3,0
459,selfplay,300,AI 3,3
460,selfplay,300,AI 3,2
461,selfplay,300,AI 2,0
462,selfplay,300,AI 4,1
463,selfplay,300,AI 2,2
464,selfplay,300,AI 4,3
465,selfplay,300,AI 4,2
466,selfplay,300,AI 3,0
467,selfplay,300,AI 2,2
468,selfplay,300,AI 3,2
469,selfplay,300,AI 4,2
470,selfplay,300,AI 1,2
471,selfplay,300,AI 3,3
472,selfplay,300,AI 1,0
473,selfplay,300,AI 3,1
474,selfplay,300,AI 3,0
475,selfplay,300,AI 4,0
476,selfplay,300,AI 2,1
477,selfplay,300,AI 2,0
478,selfplay,300,AI 1,2
479,selfplay,300,AI 1,1
480,selfplay,300,AI 3,2
481,selfplay,300,AI 4,2
482,selfplay,300,AI 4,1
483,selfplay,300,AI 1,1
484,selfplay,300,AI 1,0
485,selfplay,300,AI 4,2
486,selfplay,300,AI 4,1
487,selfplay,300,AI 1,1
488,selfplay,300,AI 2,1
489,selfplay,300,AI 4,2
490,selfplay,300,AI 1,2
491,selfplay,300,AI 1,1
492,selfplay,300,AI 4,3
493,selfplay,300,AI 3,1
494,selfplay,300,AI 1,2
495,selfplay,300,AI 3,3
496,selfplay,300,AI 4,3
497,selfplay,300,AI 1,3
498,selfplay,300,AI 1,2
499,selfplay,300,AI 3,3
500,selfplay,300,AI 4,3
